Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,
67,US-2018-164175,4/30/2018,5/5/2018,Standard Class,PS-18970,United States,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,63.9345
68,CA-2017-106376,12/5/2017,12/10/2017,Standard Class,BS-11590,United States,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,222.6048
69,CA-2017-106376,12/5/2017,12/10/2017,Standard Class,BS-11590,United States,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,33.5936
70,CA-2019-119823,6/4/2019,6/6/2019,First Class,KD-16270,United States,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,0
71,CA-2019-106075,9/18/2019,9/23/2019,Standard Class,HM-14980,United States,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,0.9232
72,CA-2020-114440,9/14/2020,9/17/2020,Second Class,TB-21520,United States,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763,0
73,US-2018-134026,4/26/2018,5/2/2018,Standard Class,JE-15745,United States,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,166.3872
74,US-2018-134026,4/26/2018,5/2/2018,Standard Class,JE-15745,United States,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,19.408
75,US-2018-134026,4/26/2018,5/2/2018,Standard Class,JE-15745,United States,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,14.5568
76,US-2020-118038,12/9/2020,12/11/2020,First Class,KB-16600,United States,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,0.9984
77,US-2020-118038,12/9/2020,12/11/2020,First Class,KB-16600,United States,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,5.8248
78,US-2020-118038,12/9/2020,12/11/2020,First Class,KB-16600,United States,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,5.448
79,US-2017-147606,11/26/2017,12/1/2017,Second Class,JE-15745,United States,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,11.58
80,CA-2019-127208,6/12/2019,6/15/2019,First Class,SC-20770,United States,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032,0
81,CA-2019-127208,6/12/2019,6/15/2019,First Class,SC-20770,United States,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352,0
82,CA-2017-139451,10/12/2017,10/16/2017,Standard Class,DN-13690,United States,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172,0
83,CA-2017-139451,10/12/2017,10/16/2017,Standard Class,DN-13690,United States,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031,0
84,CA-2018-149734,9/3/2018,9/8/2018,Standard Class,JC-16105,United States,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,40.1968
85,US-2020-119662,11/13/2020,11/16/2020,First Class,CS-12400,United States,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,46.0752
86,CA-2020-140088,5/28/2020,5/30/2020,Second Class,PO-18865,United States,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156,0
87,CA-2020-155558,10/26/2020,11/2/2020,Standard Class,PG-18895,United States,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966,0
88,CA-2020-155558,10/26/2020,11/2/2020,Standard Class,PG-18895,United States,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568,0
89,CA-2019-159695,4/5/2019,4/10/2019,Second Class,GM-14455,United States,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,31.6736
90,CA-2019-109806,9/17/2019,9/22/2019,Standard Class,JS-15685,United States,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633,0
91,CA-2019-109806,9/17/2019,9/22/2019,Standard Class,JS-15685,United States,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,14.7168
92,CA-2019-109806,9/17/2019,9/22/2019,Standard Class,JS-15685,United States,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104,0
93,CA-2018-149587,1/31/2018,2/5/2018,Second Class,KB-16315,United States,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208,0
94,CA-2018-149587,1/31/2018,2/5/2018,Second Class,KB-16315,United States,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354,0
95,CA-2018-149587,1/31/2018,2/5/2018,Second Class,KB-16315,United States,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504,0
96,US-2020-109484,11/6/2020,11/12/2020,Standard Class,RB-19705,United States,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,3.9774
97,CA-2020-161018,11/9/2020,11/11/2020,Second Class,PN-18775,United States,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426,0
98,CA-2020-157833,6/17/2020,6/20/2020,First Class,KD-16345,United States,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,10.2624
99,CA-2019-149223,9/6/2019,9/11/2019,Standard Class,ER-13855,United States,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852,0
100,CA-2019-158568,8/29/2019,9/2/2019,Standard Class,RB-19465,United States,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,12.9248
101,CA-2019-158568,8/29/2019,9/2/2019,Standard Class,RB-19465,United States,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,19.1952
102,CA-2019-158568,8/29/2019,9/2/2019,Standard Class,RB-19465,United States,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,1.4304
103,CA-2019-129903,12/1/2019,12/4/2019,Second Class,GZ-14470,United States,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208,0
104,US-2018-156867,11/13/2018,11/17/2018,Standard Class,LC-16870,United States,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,47.7792
105,US-2018-156867,11/13/2018,11/17/2018,Standard Class,LC-16870,United States,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385,20.472
106,US-2018-156867,11/13/2018,11/17/2018,Standard Class,LC-16870,United States,80013,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174,25.8174
107,CA-2020-119004,11/23/2020,11/28/2020,Standard Class,JM-15250,United States,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,14.8224
108,CA-2020-119004,11/23/2020,11/28/2020,Standard Class,JM-15250,United States,28205,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994,5.5984
109,CA-2020-119004,11/23/2020,11/28/2020,Standard Class,JM-15250,United States,28205,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738,0.6608
110,CA-2018-129476,10/15/2018,10/20/2018,Standard Class,PA-19060,United States,60462,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992,67.992
111,CA-2020-146780,12/25/2020,12/30/2020,Standard Class,CV-12805,United States,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,10.9096,0
112,CA-2019-128867,11/3/2019,11/10/2019,Standard Class,CL-12565,United States,50322,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788,0
113,CA-2019-128867,11/3/2019,11/10/2019,Standard Class,CL-12565,United States,50322,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476,0
114,CA-2017-115259,8/25/2017,8/27/2017,Second Class,RC-19960,United States,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,8.0192
115,CA-2017-115259,8/25/2017,8/27/2017,Second Class,RC-19960,United States,43229,East,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652,0.944
116,CA-2017-115259,8/25/2017,8/27/2017,Second Class,RC-19960,United States,43229,East,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925,4.7952
117,CA-2017-115259,8/25/2017,8/27/2017,Second Class,RC-19960,United States,43229,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316,26.0928
118,CA-2018-110457,3/2/2018,3/6/2018,Standard Class,DK-13090,United States,98103,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.3813,0
119,US-2018-136476,4/5/2018,4/10/2018,Standard Class,GG-14650,United States,37620,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156,110.4558
120,CA-2019-103730,6/12/2019,6/15/2019,First Class,SC-20725,United States,19805,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0,18.3456,0
121,CA-2019-103730,6/12/2019,6/15/2019,First Class,SC-20725,United States,19805,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0,13.878,0
122,CA-2019-103730,6/12/2019,6/15/2019,First Class,SC-20725,United States,19805,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0,63.4368,0
123,CA-2019-103730,6/12/2019,6/15/2019,First Class,SC-20725,United States,19805,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0,51.759,0
124,CA-2019-103730,6/12/2019,6/15/2019,First Class,SC-20725,United States,19805,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0,19.7316,0
125,US-2017-152030,12/26/2017,12/28/2017,Second Class,AD-10180,United States,77041,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794,180.1674
126,US-2017-134614,9/20/2017,9/25/2017,Standard Class,PF-19165,United States,61701,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682,308.85
127,US-2020-107272,11/5/2020,11/12/2020,Standard Class,TS-21610,United States,85023,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,1.6716
128,US-2020-107272,11/5/2020,11/12/2020,Standard Class,TS-21610,United States,85023,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499,48.7984
129,US-2019-125969,11/6/2019,11/10/2019,Second Class,LS-16975,United States,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602,16.2848
